Airport_Name,Most_Frequent_Reason,Num_Cancellations
"Paducah, KY: Barkley Regional",Weather,3
"Plattsburgh, NY: Plattsburgh International",Weather,3
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Carrier,3
"Pierre, SD: Pierre Regional",Weather,3
"Pueblo, CO: Pueblo Memorial",Weather,3
"South Bend, IN: South Bend International",Weather,3
"St. George, UT: St George Regional",Weather,3
"San Juan, PR: Luis Munoz Marin International",Carrier,3
"Salina, KS: Salina Regional",Weather,3
"Springfield, IL: Abraham Lincoln Capital",Weather,3
"Toledo, OH: Toledo Express",Weather,3
"Aberdeen, SD: Aberdeen Regional",Weather,2
"Kodiak, AK: Kodiak Airport",Weather,2
"Waterloo, IA: Waterloo Regional",Weather,2
"Appleton, WI: Appleton International",Weather,2
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,2
"Bangor, ME: Bangor International",Weather,2
"Billings, MT: Billings Logan International",Weather,2
"Cape Girardeau, MO: Cape Girardeau Regional","National Air System",2
"Hancock/Houghton, MI: Houghton County Memorial",Weather,2
"Moab, UT: Canyonlands Field",Weather,2
"Erie, PA: Erie International/Tom Ridge Field",Weather,2
"Evansville, IN: Evansville Regional",Weather,2
"Kalispell, MT: Glacier Park International",Weather,2
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Carrier,2
"Ketchikan, AK: Ketchikan International",Carrier,2
"Lansing, MI: Capital Region International",Weather,2
"Liberal, KS: Liberal Mid-America Regional",Weather,2
"Lincoln, NE: Lincoln Airport",Weather,2
"La Crosse, WI: La Crosse Regional",Weather,2
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",Weather,2
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,2
"Manchester, NH: Manchester-Boston Regional",Carrier,2
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,2
"Worcester, MA: Worcester Regional",Weather,2
"Pensacola, FL: Pensacola International","National Air System",2
"Provo, UT: Provo Municipal",Weather,2
"Bend/Redmond, OR: Roberts Field",Weather,2
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,2
"Sanford, FL: Orlando Sanford International",Weather,2
"Tallahassee, FL: Tallahassee International",Carrier,2
"Quincy, IL: Quincy Regional-Baldwin Field","National Air System",2
"Vernal, UT: Vernal Regional",Weather,2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Carrier,2
"Yakutat, AK: Yakutat Airport",Carrier,2
"Waco, TX: Waco Regional",Weather,1
"Atlantic City, NJ: Atlantic City International",Weather,1
"Augusta, GA: Augusta Regional at Bush Field",Carrier,1
"Branson, MO: Branson Airport",Weather,1
"Brainerd, MN: Brainerd Lakes Regional",Weather,1
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,1
"Cordova, AK: Merle K Mudhole Smith",Carrier,1
"Clarksburg/Fairmont, WV: North Central West Virginia","National Air System",1
"College Station/Bryan, TX: Easterwood Field","National Air System",1
"Columbia, MO: Columbia Regional","National Air System",1
"Panama City, FL: Northwest Florida Beaches International",Carrier,1
"Eagle, CO: Eagle County Regional",Weather,1
"Escanaba, MI: Delta County",Weather,1
"Key West, FL: Key West International","National Air System",1
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Carrier,1
"Fort Smith, AR: Fort Smith Regional",Carrier,1
"Gainesville, FL: Gainesville Regional",Carrier,1
"Grand Island, NE: Central Nebraska Regional",Carrier,1
"Great Falls, MT: Great Falls International",Weather,1
"Hobbs, NM: Lea County Regional",Weather,1
"Idaho Falls, ID: Idaho Falls Regional",Weather,1
"Wilmington, NC: Wilmington International",Carrier,1
"Iron Mountain/Kingsfd, MI: Ford",Weather,1
